id,title,company,city,salary_min,salary_max,days_posted,title_short,seniority
12361407,Lead Data Ops Engineering - Data Sourcing (crawling/scraping) (m/f/d),Statista GmbH,Berlin,60000,81000,7,Data engineer,Lead
11792803,Logopäde/in gesucht in Moabit. Praxis mit Luxury Award aus New York,Sprechfreiheit GmbH,Berlin,48000,72000,21,,
12156719,Teamleiter Data Analytics (alle Menschen),WS Weinmann & Schanz GmbH,Balingen bei Stuttgart,43000,66000,7,,Lead
12191785,Agiler Software Tester (m/w/d) Eisenbahnsysteme,Scheidt & Bachmann System Technik GmbH,Melsdorf bei Kiel,40000,60000,21,,
11123034,Data Migration Lead SAP (w/m/d),NTT DATA Business Solutions AG,bundesweit,65000,86000,7,,Lead
12336560,Head of Data Privacy Strategy & Governance (gn) Vollzeit/ Teilzeit,DKV Mobility Group SE,Ratingen,66000,89000,7,,Lead
12422635,Projektmanager AI & Data Science (m/w/d),Reply,München,67000,89000,7,,
11683624,Softwaretester Elektromobilität Automotive (m/w/d),ACONEXT,München,51000,72000,28,,
12359025,Senior Network Specialist – Data Center / ACI (m/w/d),Manage Now GmbH,"München, Berlin, Stuttgart, Frankfurt am Main, Düsseldorf, Neckarsulm, Hannover, Hamburg, Augsburg",50000,77000,7,,Senior
12194603,Mechatroniker / Elektriker / Elektroniker als Servicetechniker (m/w/d),Fude + Serrahn Milchprodukte GmbH & Co.KG,"Berlin, Gransee, Coesfeld, Velen, Niesky, Olbernhau, Wohlmirstedt",31000,48000,21,,
10052487,Information Security Specialist (m/w/d),Senacor Technologies AG,Nürnberg,53000,74000,28,,
10182103,Pega Software Consultant (m/w/d),Senacor Technologies AG,"Berlin, Bonn, Hamburg, Frankfurt, München, Nürnberg, Wien",46000,76000,28,,
11385645,IT Supporter (m/w/d) First- & Second-Level-Support,CONET Services GmbH,"Bonn, Berlin",,,28,,
12270040,Senior Service Architect (f/m/d) for Data Management and Landscape Transformation,SAP SE,"Walldorf, DE, 69190",46000,72000,7,,Senior
12351291,Team Lead Data Engineering (m/w/d),Deichmann SE,Essen,68000,90000,7,Data engineer,Lead
12190399,Elektriker / Elektroniker / Mechatroniker - interne Instandhaltung (m/w/d),QIAGEN GmbH,Hilden bei Düsseldorf,38000,52000,21,,Intern
12180402,Softwaretester (w/m/d) für Flugsicherungssysteme,DFS Deutsche Flugsicherung GmbH,Langen,70000,110000,28,,
12351670,Team Lead MB.OS Data Management Platform (m/w/d),Mercedes-Benz Tech Innovation,Stuttgart,,,7,,Lead
12351228,Product Manager (m/w/d) – Future Tactical Data Link Services & ADLiS,ATLAS ELEKTRONIK GmbH,Bremen,,,7,,
12349904,​​Team Lead Export Operations Booking Data Entry​ (m/w/d),MSC Germany S.A. & Co. KG,Hamburg,40000,69000,7,,Lead
12222208,IT Netzwerk Security Administrator (m/w/d) - IT-Network-Security Engineer,Ratbacher GmbH,"Reutlingen, Essen, Frankfurt, Leipzig, Würzburg, Augsburg",43000,71000,14,,
12351671,Team Lead MB.OS Data Management Platform (m/w/d),Mercedes-Benz Tech Innovation,Ulm,,,7,,Lead
11646308,(Senior) Consultant Data Strategy & Governance (w/m/d),KPMG AG Wirtschaftsprüfungsgesellschaft,Berlin,,,7,,Senior
12044813,Senior Data Quality Governance Manager (Risikomanager) (w/m/d),TARGOBANK,"Frankfurt am Main, Düsseldorf",,,7,,Senior
12411638,Teamlead Data Analytics (m/w/d),ZIEHL-ABEGG SE,Künzelsau,,,7,,Lead
12177299,"Chemielaborant, CTA, Chemikant, UTA (m/w/d)",UCL Umwelt Control Labor GmbH,Lünen,30000,32000,28,,
12245494,MTLA / MTL im Laborbereich Mikrobiologie (m/w/d),MVZ Ganzimmun GmbH,Mainz,32000,56000,28,,
12411986,Senior Data Management Expert (m/w/d),BRUNATA Wärmemesser Hagen GmbH & Co. KG,Hamburg,56000,76000,7,,Senior
12413232,Data Platform Lead (d/f/m),TK Elevator GmbH,Düsseldorf,,,7,,Lead
12224118,Junior Analyst Digital Lead Management (m/w/d),SozialBank,Köln,,,14,,Junior
12248616,Engineering Manager - Product Data Management (m/f/x),commercetools GmbH,"Berlin, Germany; Valencia, Spain (Hybrid)",41000,60000,7,Data engineer,
12131453,Senior Manager Data Strategy & Data Governance (m/w/d),Sopra Steria Next,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",100000,140000,7,,Senior
12433796,Analyst (m/w/d) in der Markenberatung,BIESALSKI & COMPANY GmbH,"München, Deutschland",37000,61000,7,,
12221999,Senior Credit Analyst (all genders) bei Wealth Management,BNP Paribas S.A.,Frankfurt am Main,68000,95000,14,,Senior
12204698,IT Network Security Engineer (m/w/d) – Netzwerk Security Engineer,Ratbacher GmbH,"Radolfzell, Konstanz",70,130,21,,
7838245,Chemielaborant (m/w/d) Qualitätskontrolle und Entwicklung,FERCHAU – Connecting People and Technologies,Frankfurt am Main,36000,54000,21,,
7838116,Chemielaborant (m/w/d) Pharma,FERCHAU – Connecting People and Technologies,Frankfurt am Main,40000,54000,21,,
10478740,Softwaretester (m/w/d),FERCHAU – Connecting People and Technologies,Lübeck,45000,60000,21,,
12338877,Product Manager - Data & AI (f/m/x),Tourlane GmbH,"Home Office or Berlin, Germany",38000,54000,7,,
12185513,Senior Software Engineer - Data & AI (m/w/d),CMBlu Energy AG,Alzenau,50000,120000,7,Data engineer,Senior
10478517,Software-Tester (m/w/d) ISTQB,FERCHAU – Connecting People and Technologies,Stuttgart,50000,80000,21,,
12393186,MS SQL Server- und Datenspezialist (m/w/d),KÜS DATA GmbH,Losheim am See,34000,58000,1,,
12461712,Mitarbeiter (m/w/d) für die Schadensanalyse,Randstad Deutschland GmbH & Co. KG,Wolfsburg,,,1,,
12393182,Software-Entwickler (Delphi) (m/w/d),KÜS DATA GmbH,Losheim am See,42000,60000,1,,
7837208,Chemielaborant / CTA / BTA (m/w/d) Pharmaindustrie,FERCHAU – Connecting People and Technologies,Penzberg,54000,66000,21,,
12246214,(Senior) Consultant Data Science & AI (m/w/d),Statista GmbH,Hamburg,65000,95000,14,,Senior
11893645,IT-Security Engineer (m/w/d),FERCHAU – Connecting People and Technologies,Neumünster,50000,80000,21,,
11893808,Softwaretester (m/w/d),FERCHAU – Connecting People and Technologies,Kiel,45000,70000,21,,
11893343,Softwaretester (m/w/d),FERCHAU – Connecting People and Technologies,Osnabrück,50000,70000,21,,
11893172,Softwaretester (m/w/d) Aerospace & Defence,FERCHAU – Connecting People and Technologies,Immenstaad am Bodensee,65000,75000,21,,
12189476,IT Security Engineer (m/w/d) - IT Security Specialist,Ratbacher GmbH,"Stuttgart, Frankfurt",62000,86000,21,,
12191736,Network Security Engineer (m/w/d) - Netzwerk Security Administrator,Ratbacher GmbH,"Stuttgart, Dresden",41000,67000,21,,
